zaman,ivme_x,ivme_y,ivme_z,etiket
1777036003.584825,-0.29,-0.04,-0.04,1
1777036003.6051886,0.01,-0.09,-0.21,1
1777036003.626702,0.15,-0.17,-0.08,1
1777036003.6466234,-0.08,-0.07,-0.04,1
1777036003.6681662,-0.29,0.15,0.00,1
1777036003.689694,-0.31,0.28,-0.03,1
1777036003.7119732,0.39,0.14,0.04,1
1777036003.733412,0.45,-0.03,0.00,1
1777036003.7547305,-0.34,-0.12,-0.09,1
1777036003.7760491,-0.52,-0.06,0.00,1
1777036003.7969956,0.29,-0.25,-0.03,1
1777036003.8179433,0.41,0.05,-0.09,1
1777036003.8388877,0.35,0.20,-0.09,1
1777036003.8614523,-0.84,0.13,0.02,1
1777036003.882962,-1.11,0.15,-0.15,1
1777036003.903075,0.13,-0.17,-0.01,1
1777036003.9258556,0.51,-0.24,-0.08,1
1777036003.946824,0.14,-0.03,-0.09,1
1777036003.9669547,-0.52,0.29,0.01,1
1777036003.988781,-0.20,0.27,-0.01,1
1777036004.0096555,0.12,-0.06,0.00,1
1777036004.0307972,0.20,-0.22,-0.06,1
1777036004.0520504,-0.03,-0.18,-0.06,1
1777036004.0738103,-0.35,-0.10,-0.06,1
1777036004.0940592,-0.31,0.03,-0.04,1
1777036004.1166391,0.11,0.05,-0.10,1
1777036004.1379995,0.32,-0.05,0.00,1
1777036004.1588564,-0.59,-0.08,-0.10,1
1777036004.1793306,-0.90,-0.05,-0.02,1
1777036004.2004342,0.25,-0.02,-0.09,1
1777036004.2219744,0.96,-0.02,-0.13,1
1777036004.2423718,0.20,0.12,0.00,1
1777036004.264835,-0.44,0.07,-0.09,1
1777036004.2865891,-0.49,0.21,-0.06,1
1777036004.3076491,0.24,0.22,0.01,1
1777036004.3287628,0.44,0.01,0.06,1
1777036004.3489182,-0.08,0.18,-0.07,1
1777036004.3710382,-0.57,0.24,-0.15,1
1777036004.3917491,-0.23,0.17,-0.22,1
1777036004.4131277,0.37,0.17,0.05,1
1777036004.4357858,0.62,0.00,0.02,1
1777036004.455391,0.01,-0.16,0.00,1
1777036004.4778106,-0.61,-0.06,-0.19,1
1777036004.4999263,-0.93,-0.01,0.09,1
1777036004.5208325,0.44,-0.52,0.21,1
1777036004.541798,0.71,-0.45,-0.08,1
1777036004.562524,-0.04,0.07,-0.15,1
1777036004.5847435,-0.22,0.03,0.01,1
1777036004.6056223,-0.88,0.00,0.03,1
1777036004.6276786,0.04,0.04,-0.12,1
1777036004.6490188,0.83,0.12,0.00,1
1777036004.6758296,-0.34,-0.11,-0.10,1
1777036004.6967561,-0.66,0.17,-0.09,1
1777036004.718344,-0.13,-0.08,-0.06,1
1777036004.740285,-0.47,-0.02,-0.03,1
1777036004.7604759,0.52,-0.07,-0.11,1
1777036004.7816942,0.38,-0.09,-0.03,1
1777036004.802291,-0.01,-0.19,0.00,1
1777036004.8240726,-0.47,0.05,-0.09,1
1777036004.8445654,-0.35,0.30,-0.20,1
1777036004.8668966,-0.14,0.36,-0.19,1
1777036004.888744,0.01,0.31,0.00,1
1777036004.9105856,0.78,-0.15,0.00,1
1777036004.9304388,-0.34,0.20,-0.04,1
1777036004.9511013,-1.12,0.31,-0.20,1
1777036004.9730043,-0.47,0.00,-0.05,1
1777036004.9933257,0.39,0.00,0.03,1
1777036005.015418,0.31,-0.03,0.02,1
1777036005.0379553,-0.31,0.01,-0.02,1
1777036005.0587487,-0.46,0.03,-0.03,1
1777036005.0799859,0.08,-0.12,-0.11,1
1777036005.1009092,0.31,-0.10,-0.08,1
1777036005.121356,-0.17,0.06,0.00,1
1777036005.1426198,-0.19,0.16,-0.03,1
1777036005.1629562,-0.08,0.12,-0.07,1
1777036005.184442,-0.01,-0.06,-0.04,1
1777036005.2055318,-0.15,-0.05,-0.03,1
1777036005.2279437,-0.21,0.24,-0.13,1
1777036005.2486086,-0.10,0.07,-0.08,1
1777036005.2707314,0.12,0.03,-0.06,1
