zaman,ivme_x,ivme_y,ivme_z,etiket
1777035826.056988,-0.10,-0.04,-0.03,0
1777035826.079777,-0.04,-0.10,0.03,0
1777035826.101832,0.08,-0.16,-0.10,0
1777035826.1219609,0.09,-0.06,-0.12,0
1777035826.1431708,-0.11,-0.03,-0.04,0
1777035826.1687565,0.10,-0.09,-0.10,0
1777035826.1902835,0.11,-0.09,0.00,0
1777035826.2092502,0.09,-0.05,-0.06,0
1777035826.2316904,0.02,-0.06,0.00,0
1777035826.2540643,0.07,0.00,-0.06,0
1777035826.2744145,0.07,0.10,-0.05,0
1777035826.2972004,-0.01,0.08,-0.02,0
1777035826.311665,0.05,0.00,-0.05,0
1777035826.3385532,0.04,-0.05,-0.09,0
1777035826.3599823,-0.02,-0.06,-0.11,0
1777035826.381202,-0.02,-0.05,-0.20,0
1777035826.4028049,0.00,-0.11,-0.09,0
1777035826.423847,-0.07,-0.07,-0.08,0
1777035826.445009,-0.11,-0.16,-0.10,0
1777035826.4628189,-0.01,-0.19,-0.19,0
1777035826.48825,0.18,0.08,-0.12,0
1777035826.5090117,0.16,-0.04,-0.04,0
1777035826.5299299,0.03,0.10,-0.07,0
1777035826.551129,-0.19,0.12,-0.05,0
1777035826.5721438,-0.11,0.03,0.00,0
1777035826.5941916,0.13,-0.02,-0.07,0
1777035826.615661,0.44,-0.13,-0.11,0
1777035826.6384058,0.30,-0.06,-0.03,0
1777035826.6580348,-0.14,0.00,-0.08,0
1777035826.6786077,-0.13,-0.03,-0.13,0
1777035826.7000897,0.00,0.01,-0.08,0
1777035826.7200096,0.00,0.01,-0.03,0
1777035826.7416446,0.12,-0.05,-0.11,0
1777035826.7631946,0.11,-0.06,-0.03,0
1777035826.7843556,0.05,-0.08,-0.12,0
1777035826.8063295,-0.05,-0.03,-0.11,0
1777035826.8217514,-0.09,0.04,-0.11,0
1777035826.8487117,-0.04,0.05,-0.08,0
1777035826.8689978,0.00,0.01,-0.04,0
1777035826.8894491,0.11,0.00,-0.02,0
1777035826.911741,0.12,-0.03,-0.11,0
1777035826.9316046,0.04,-0.11,-0.08,0
1777035826.9530427,-0.04,-0.12,-0.03,0
1777035826.974266,0.01,-0.03,-0.06,0
1777035826.9956894,0.11,-0.01,-0.06,0
1777035827.017552,0.10,0.06,-0.08,0
1777035827.040032,0.09,0.10,-0.12,0
1777035827.0601003,-0.06,0.04,-0.08,0
1777035827.08179,-0.02,0.00,-0.07,0
1777035827.1020658,0.05,-0.05,-0.10,0
1777035827.1230228,-0.02,-0.12,-0.04,0
1777035827.1446388,-0.03,-0.13,-0.09,0
1777035827.165898,0.00,-0.04,-0.09,0
1777035827.186377,0.03,0.04,-0.03,0
1777035827.2091928,0.02,0.05,-0.07,0
1777035827.2302942,-0.03,0.05,-0.05,0
1777035827.251223,-0.01,0.01,-0.01,0
1777035827.271709,0.00,-0.13,-0.08,0
1777035827.2926214,0.04,-0.05,-0.07,0
1777035827.3134522,0.02,-0.02,0.04,0
1777035827.3360226,0.00,0.08,-0.18,0
1777035827.3580763,0.03,0.08,-0.20,0
1777035827.3798683,0.05,-0.10,0.05,0
1777035827.4000757,-0.05,-0.06,-0.17,0
1777035827.421693,0.05,0.00,-0.03,0
1777035827.4429266,0.05,-0.10,0.11,0
1777035827.46395,-0.06,0.02,-0.06,0
1777035827.4852967,0.08,0.13,-0.22,0
1777035827.507212,0.02,-0.04,0.34,0
1777035827.5281515,-0.12,-0.05,-0.36,0
1777035827.5501761,0.00,0.08,-0.32,0
1777035827.5717463,0.11,-0.17,0.08,0
1777035827.591858,-0.06,0.01,-0.28,0
1777035827.612597,-0.04,0.00,-0.03,0
1777035827.6336982,-0.05,-0.12,-0.05,0
1777035827.6550786,-0.10,0.02,-0.02,0
1777035827.6762946,0.01,0.00,-0.03,0
1777035827.6980255,0.04,-0.05,-0.08,0
1777035827.719989,-0.01,0.07,-0.01,0
1777035827.7402341,-0.01,0.10,-0.01,0
1777035827.7616882,0.09,-0.03,-0.13,0
1777035827.7830281,0.07,-0.06,-0.03,0
1777035827.803227,0.06,-0.06,-0.08,0
1777035827.8242276,0.12,0.01,-0.11,0
1777035827.845608,0.10,0.03,-0.03,0
1777035827.8682137,-0.10,0.07,0.00,0
1777035827.8890753,-0.15,0.07,-0.03,0
1777035827.9106877,-0.06,0.02,-0.13,0
1777035827.9317052,0.04,-0.12,-0.05,0
1777035827.9526157,0.06,-0.10,-0.10,0
1777035827.9738414,0.07,-0.16,-0.11,0
1777035827.9950805,0.00,-0.10,-0.07,0
1777035828.016073,-0.05,-0.05,-0.06,0
1777035828.0373363,-0.01,0.00,-0.06,0
1777035828.0597558,0.00,0.05,-0.09,0
1777035828.0820985,0.00,0.06,-0.06,0
1777035828.1032572,0.00,0.03,-0.05,0
1777035828.1240313,-0.02,-0.05,-0.10,0
1777035828.1501932,0.02,-0.07,-0.08,0
1777035828.173174,-0.01,-0.08,-0.11,0
1777035828.1938388,0.02,-0.03,-0.06,0
1777035828.2151153,0.04,0.00,-0.04,0
1777035828.2360024,0.04,-0.03,-0.04,0
1777035828.257004,0.04,-0.05,-0.05,0
1777035828.2780848,0.03,-0.02,-0.09,0
1777035828.2998803,-0.07,-0.05,-0.08,0
1777035828.322074,-0.09,0.00,-0.07,0
1777035828.3430355,-0.01,0.04,-0.07,0
1777035828.3640084,0.03,0.00,0.00,0
1777035828.3848243,0.09,0.02,-0.09,0
1777035828.4056046,0.08,0.01,-0.10,0
