zaman,ivme_x,ivme_y,ivme_z,etiket
1777036136.1284323,1.22,-1.02,-0.33,2
1777036136.1496592,0.90,-0.26,-0.94,2
1777036136.1698413,-0.12,0.24,-0.62,2
1777036136.1922524,-0.98,0.16,-0.38,2
1777036136.214548,-1.10,0.60,0.15,2
1777036136.2366178,0.27,-0.54,0.07,2
1777036136.256779,1.17,-0.98,-0.43,2
1777036136.276957,-0.96,0.37,-0.31,2
1777036136.2985115,-1.36,0.73,-0.18,2
1777036136.319492,-0.05,0.33,0.06,2
1777036136.3416257,-0.32,-0.29,-0.27,2
1777036136.3637986,-0.42,-0.42,-0.51,2
1777036136.3840837,0.94,0.26,-0.28,2
1777036136.4066253,1.16,0.24,-0.24,2
1777036136.4274676,-1.04,0.46,-0.26,2
1777036136.448036,-1.35,0.06,-0.26,2
1777036136.4697301,-1.00,-0.27,-0.46,2
1777036136.4901996,-0.03,-0.39,-0.11,2
1777036136.5127409,2.01,-0.37,-0.14,2
1777036136.5332284,1.02,0.28,-0.51,2
1777036136.555121,-0.85,0.51,-0.32,2
1777036136.5755444,-2.12,0.49,-0.17,2
1777036136.597792,0.62,-0.13,-0.02,2
1777036136.6183877,2.66,-0.10,-0.08,2
1777036136.6390424,1.35,-0.15,-0.79,2
1777036136.6606739,-1.32,0.11,-0.61,2
1777036136.6810715,-2.63,0.97,-0.07,2
1777036136.7035065,-1.42,0.57,0.20,2
1777036136.7242486,1.69,-0.81,0.16,2
1777036136.7468073,2.28,-0.77,-0.46,2
1777036136.7681546,-0.09,0.31,-0.77,2
1777036136.7882001,-2.90,0.87,-0.13,2
1777036136.8093834,-1.59,-0.14,0.21,2
1777036136.8300748,2.70,-0.76,-0.01,2
1777036136.8513339,2.70,0.14,-0.57,2
1777036136.8726628,-0.90,0.02,-0.51,2
1777036136.8945196,-3.22,0.71,-0.34,2
1777036136.915639,-1.84,0.52,0.07,2
1777036136.9383554,2.07,-1.18,0.22,2
1777036136.9586997,3.11,-0.77,-0.35,2
1777036136.9786353,-0.98,0.22,-0.61,2
1777036137.0001502,-3.17,0.92,-0.43,2
1777036137.0211985,-1.62,0.82,0.28,2
1777036137.0421453,0.42,-0.28,0.03,2
1777036137.063908,2.48,-0.92,-0.35,2
1777036137.0855763,0.22,-0.29,-0.99,2
1777036137.1081903,-1.75,0.09,-0.63,2
1777036137.128689,-2.29,1.30,0.00,2
1777036137.14911,1.11,0.28,0.12,2
1777036137.1705415,2.27,-0.89,-0.39,2
1777036137.1917753,-1.40,0.08,-0.83,2
1777036137.2125788,-2.76,0.95,-0.21,2
1777036137.232849,-1.19,0.67,0.11,2
1777036137.2550323,0.78,0.03,0.20,2
1777036137.2756934,2.54,-0.14,-0.05,2
1777036137.2985642,1.53,-0.09,-0.32,2
1777036137.3195827,-0.99,0.04,-0.60,2
1777036137.3456268,-2.22,0.35,-0.40,2
1777036137.367378,-1.45,-0.16,0.01,2
1777036137.3902047,1.80,-0.93,-0.05,2
1777036137.4106693,2.09,0.29,-0.56,2
1777036137.4307032,-0.26,0.97,-0.01,2
1777036137.451779,-2.24,0.34,-0.31,2
1777036137.4729218,-2.05,-0.19,-0.30,2
1777036137.4957094,0.10,-0.62,-0.13,2
1777036137.5180478,2.20,-0.19,0.11,2
1777036137.539047,0.59,0.15,-0.44,2
1777036137.5603924,-1.15,0.44,-0.37,2
1777036137.5814703,-1.21,0.68,-0.23,2
1777036137.6029122,1.01,-0.43,-0.02,2
1777036137.6228695,1.51,-0.59,-0.22,2
1777036137.6448505,-0.13,-0.26,-0.67,2
1777036137.6670387,-1.56,0.28,-0.37,2
1777036137.6868863,-1.14,0.52,-0.07,2
1777036137.7093184,-0.02,0.25,0.06,2
1777036137.7311547,1.42,-0.38,0.16,2
1777036137.751676,-0.42,-0.21,-0.73,2
1777036137.7730289,-1.59,0.32,-0.58,2
1777036137.7937694,-0.96,-0.04,-0.40,2
1777036137.814845,-0.07,-0.77,-0.43,2
1777036137.835197,-0.24,-0.93,-0.26,2
1777036137.8569818,0.01,-0.14,-0.01,2
1777036137.8780951,1.16,1.44,-0.57,2
1777036137.9002087,1.07,1.96,-0.94,2
1777036137.9219284,-1.04,1.11,0.41,2
1777036137.9425142,-0.85,-0.03,0.29,2
1777036137.963789,-0.14,-0.81,-0.05,2
1777036137.9839385,-0.12,-0.80,-0.45,2
1777036138.0057063,-0.76,-0.16,-0.66,2
1777036138.0241902,0.38,0.20,-0.24,2
1777036138.0491183,1.08,0.48,-0.34,2
1777036138.0703866,-0.05,0.51,-0.10,2
1777036138.0882103,-1.37,-0.41,-0.49,2
1777036138.1109197,-0.40,0.00,-0.32,2
1777036138.1336443,0.74,0.07,-0.40,2
1777036138.1521864,0.22,0.28,-0.22,2
1777036138.171144,-0.65,0.23,0.27,2
1777036138.1971045,0.21,-0.62,-0.35,2
1777036138.219912,0.38,-0.09,-0.65,2
1777036138.2399092,-0.39,0.77,-0.27,2
1777036138.2622993,-0.75,0.50,-0.05,2
1777036138.2835884,-0.30,-0.02,-0.26,2
1777036138.3040535,-0.27,0.00,-0.36,2
1777036138.3259735,-0.35,0.15,-0.25,2
1777036138.3455772,0.15,0.22,-0.07,2
1777036138.367736,0.45,-0.01,-0.12,2
1777036138.3868997,-0.33,-0.13,-0.66,2
1777036138.4119606,-1.32,0.36,-0.43,2
1777036138.4328392,-1.24,0.07,0.04,2
1777036138.4534695,0.86,0.04,-0.16,2
1777036138.4740422,1.16,0.44,-0.05,2
1777036138.4908614,0.97,-0.25,-0.53,2
1777036138.5167916,-0.49,-0.59,-0.65,2
1777036138.5368903,-2.07,0.67,-0.21,2
1777036138.558856,-0.72,0.71,0.04,2
1777036138.580927,1.60,-0.30,-0.14,2
1777036138.6021054,0.87,-0.26,-0.58,2
1777036138.6242049,-1.41,0.16,-0.39,2
1777036138.6444218,-0.34,0.26,-0.36,2
1777036138.6656191,0.46,0.17,-0.03,2
1777036138.686674,0.46,-0.18,-0.18,2
1777036138.7067904,-0.08,-0.08,-0.39,2
1777036138.726757,-0.87,0.37,-0.36,2
1777036138.7500534,-0.78,0.19,-0.20,2
1777036138.771969,0.25,0.13,-0.17,2
1777036138.7939937,0.53,0.05,-0.26,2
1777036138.8154318,-0.66,0.26,-0.29,2
1777036138.8368404,-0.70,0.38,0.13,2
1777036138.8583822,-0.05,-0.18,-0.22,2
1777036138.8788164,0.32,-0.45,-0.53,2
1777036138.9171891,0.14,-0.38,-0.69,2
1777036138.9202185,0.15,0.25,-0.30,2
1777036138.9570572,-0.72,0.58,-0.62,2
1777036139.112629,-1.14,0.28,-0.18,2
1777036139.1179729,-0.75,-0.08,0.35,2
1777036139.1206193,0.02,-0.42,-0.34,2
1777036139.1228092,0.74,0.20,-0.33,2
1777036139.125684,0.71,0.78,-0.09,2
1777036139.1313884,1.10,0.59,0.09,2
1777036139.1681461,-0.79,0.12,-0.50,2
1777036139.1749647,-1.91,-0.31,-0.83,2
1777036139.1789463,-2.32,-0.28,-0.24,2
1777036139.1902432,-0.24,-0.52,-0.02,2
1777036139.1922967,1.70,0.57,-0.68,2
1777036139.198137,0.27,1.64,0.09,2
1777036139.2204928,-0.79,1.00,0.32,2
1777036139.2387497,-1.28,-0.93,-0.18,2
1777036139.2623606,-0.86,-0.97,-0.75,2
1777036139.2822227,0.69,0.11,-0.59,2
1777036139.3036,0.36,0.45,-0.24,2
1777036139.324668,-1.12,0.76,-0.01,2
1777036139.353394,0.40,-0.41,-0.28,2
1777036139.374314,0.80,-0.58,-0.76,2
1777036139.4050894,-0.83,0.33,-0.38,2
1777036139.4189723,-0.82,0.97,-0.05,2
1777036139.4372067,-0.03,0.40,0.24,2
1777036139.4586904,0.31,-0.75,-0.49,2
1777036139.4799492,0.06,-0.32,-0.80,2
1777036139.5002425,-0.77,0.50,-0.26,2
1777036139.5216842,-1.01,0.39,-0.24,2
1777036139.5423872,-0.77,0.40,0.00,2
1777036139.5653393,0.26,0.04,0.09,2
1777036139.587019,1.71,-0.06,-0.21,2
1777036139.6083362,0.40,-0.30,-0.79,2
1777036139.633482,-2.04,0.47,-0.53,2
1777036139.6505284,-0.22,1.01,0.22,2
1777036139.6758933,0.92,-0.21,0.49,2
1777036139.699084,0.52,-0.48,-0.63,2
1777036139.7282088,0.11,0.16,-0.83,2
1777036139.737926,-1.47,0.01,-0.50,2
1777036139.7622662,-1.42,0.60,-0.03,2
1777036139.7781982,0.61,0.80,0.45,2
1777036139.8012347,0.88,-0.95,-0.72,2
1777036139.8203285,-0.44,-0.38,-0.96,2
1777036139.8441482,-1.85,0.94,-0.36,2
1777036139.8627381,-1.43,1.22,0.15,2
1777036139.8846488,0.38,0.16,0.34,2
1777036139.9057858,1.68,-0.94,0.29,2
1777036139.928437,0.81,-0.36,-0.81,2
1777036139.9537766,-1.28,0.21,-0.68,2
1777036139.9726844,-2.03,0.99,0.04,2
1777036139.99104,0.16,0.03,0.00,2
1777036140.0116887,1.83,-0.74,-0.28,2
1777036140.0355973,0.06,-0.14,-0.56,2
1777036140.0555685,-1.77,0.80,-0.19,2
1777036140.0759604,-0.78,0.26,0.15,2
1777036140.1101313,1.20,-0.35,-0.02,2
1777036140.1201682,1.16,-0.23,-0.47,2
1777036140.1416514,-1.12,0.72,-0.34,2
1777036140.161056,-1.11,0.30,-0.13,2
1777036140.1823587,-0.40,0.11,-0.11,2
1777036140.2471075,0.37,-0.28,-0.37,2
1777036140.3021116,0.02,0.02,-0.20,2
1777036140.4055524,-0.11,0.00,-0.27,2
1777036140.4221663,-0.18,0.28,-0.16,2
1777036140.4244828,-0.12,0.22,-0.06,2
1777036140.4290397,0.03,-0.23,-0.39,2
1777036140.4315789,-0.18,0.04,-0.65,2
1777036140.435122,-0.27,0.24,-0.43,2
1777036140.4376526,-0.27,0.47,-0.13,2
1777036140.4424024,-0.91,0.13,-0.20,2
1777036140.4474823,-0.76,-0.07,-0.26,2
1777036140.4528465,1.19,-0.48,-0.02,2
1777036140.5068693,-0.28,0.29,-0.41,2
1777036140.5109112,-1.95,0.43,-0.41,2
1777036140.5138803,-1.23,0.39,0.00,2
1777036140.523739,0.42,-0.09,-0.10,2
1777036140.5445225,1.15,-0.20,-0.55,2
1777036140.567139,-0.37,-0.06,-0.61,2
1777036140.5874844,-1.22,0.53,0.05,2
1777036140.6097572,-0.31,0.31,0.12,2
1777036140.632977,0.78,-0.39,-0.35,2
1777036140.653603,-0.97,0.47,-0.62,2
1777036140.6724482,-0.96,0.46,-0.08,2
1777036140.693446,-0.29,-0.11,-0.18,2
1777036140.7150707,0.08,-0.02,-0.27,2
1777036140.7355626,0.84,0.18,-0.22,2
1777036140.7568521,0.13,-0.04,-0.32,2
1777036140.7791545,-1.19,0.13,-0.60,2
1777036140.7998595,-1.54,0.11,-0.43,2
1777036140.8223283,-1.08,-0.29,-0.38,2
1777036140.8427863,0.79,-0.13,-0.29,2
1777036140.8631647,0.82,0.48,0.04,2
1777036140.8844743,-0.02,0.40,-0.05,2
1777036140.904788,-0.15,0.45,-0.46,2
1777036140.927001,-0.40,0.27,-0.41,2
1777036140.953525,-0.69,-0.32,0.08,2
1777036140.9701674,-1.01,0.22,-0.20,2
1777036140.9915574,0.42,0.86,-0.18,2
1777036141.0121987,0.39,0.20,-0.50,2
1777036141.0330439,-1.08,-0.49,-0.23,2
1777036141.0541859,-1.20,-0.68,0.20,2
1777036141.075983,-0.27,-0.41,-0.82,2
1777036141.095908,0.25,0.08,-0.50,2
1777036141.120417,0.17,0.61,0.10,2
1777036141.1390283,0.03,0.61,0.28,2
1777036141.1607165,0.19,0.35,-0.30,2
1777036141.1844103,-0.02,0.11,-0.22,2
1777036141.2051585,-1.55,-0.90,-0.58,2
1777036141.2290251,0.02,-0.43,-0.60,2
1777036141.2446992,1.38,1.41,0.10,2
1777036141.2672563,0.78,1.09,-0.12,2
1777036141.2859108,-1.48,-0.16,-0.48,2
1777036141.3090112,-1.91,-0.36,-0.60,2
1777036141.33165,-1.48,-0.15,-0.18,2
1777036141.3590043,1.99,0.06,-0.47,2
1777036141.3801732,0.85,0.65,-0.26,2
1777036141.4023716,-0.65,0.54,-0.14,2
1777036141.422601,-1.94,0.38,-0.36,2
1777036141.4442906,-1.30,-0.69,-0.31,2
1777036141.465481,1.88,-0.73,-0.62,2
1777036141.4855583,1.08,0.33,-0.54,2
1777036141.5068157,-1.24,0.63,0.16,2
1777036141.529674,-1.59,0.11,-0.38,2
1777036141.5516827,-0.18,0.44,-0.02,2
1777036141.573516,1.24,-0.05,0.18,2
1777036141.5939436,0.46,-0.54,-0.68,2
1777036141.6156287,-1.27,0.60,-0.64,2
1777036141.6369314,-1.34,0.81,0.09,2
1777036141.6553524,0.19,0.11,0.41,2
1777036141.7016487,1.05,-0.07,0.29,2
1777036141.7176955,1.95,-0.13,-0.78,2
1777036141.7234466,0.19,-0.34,-0.95,2
1777036141.7437363,-3.02,0.82,-0.39,2
1777036141.7832296,-2.57,1.06,-0.25,2
1777036141.810034,0.80,0.55,0.48,2
1777036141.819677,1.44,-1.57,-0.87,2
1777036141.8267615,-0.53,-1.03,-0.69,2
1777036141.848539,-2.45,0.84,-1.06,2
1777036141.8854108,-1.52,1.94,-0.01,2
1777036141.8899498,0.89,0.07,0.38,2
1777036141.9101346,0.85,-1.43,-0.98,2
1777036141.9333751,-1.35,-0.22,-0.92,2
1777036141.9552836,-2.15,1.53,-0.17,2
1777036141.9749746,1.32,0.50,0.95,2
1777036141.9951813,3.76,-1.13,-0.26,2
1777036142.0184205,-0.86,-0.62,-1.15,2
1777036142.0379257,-4.16,0.56,-1.26,2
1777036142.0608041,-3.70,1.77,0.05,2
